#anidi -ídia=categories: A;fonts: dsalut;
acroscòpic acroscòpica=categories: A;fonts: LT;
acrosiringi -íngia=categories: A;fonts: dsalut;
acrosòmic acrosòmica=categories: A;fonts: LT;
acràtic acràtica=categories: A;fonts: LT;
acrèstic acrèstica=categories: A;fonts: dsalut;
acrílic acrílica=categories: A;fonts: LT;
acrític acrítica=categories: A;fonts: LT;
acròmic acròmica=categories: A;fonts: dsalut;
acrònic acrònica=categories: A;fonts: LT;
acròpet acròpeta=categories: A;fonts: LT;
acròstic acròstica=categories: A;fonts: LT;
acròtic acròtica=categories: A;fonts: dsalut;
actinal=categories: A;fonts: LT;
actiniforme=categories: A;fonts: dsalut;
actinocarp actinocarpa=categories: A;fonts: LT;
actinoftalm actinoftalma=categories: A;fonts: LT;
actinogen actinògena=categories: A;fonts: dsalut;
actinogènic actinogènica=categories: A;fonts: dsalut;
actinomicètic actinomicètica=categories: A;fonts: dsalut;
actinomicòtic actinomicòtica=categories: A;fonts: dsalut;
actinomorf actinomorfa=categories: A;fonts: LT;
actinomètric actinomètrica=categories: A;fonts: LT;
actitudinal=categories: A;fonts: termcat;
actiu activa [sup. activíssim]=categories: A;fonts: LT;
activable=categories: A;fonts: LT;
activador activadora=categories: A;fonts: LT;
activista=categories: A;fonts: LT;
actogràfic actogràfica=categories: A;fonts: LT;
actor actora=categories: A;fonts: DDLC;
actoral=categories: A;fonts: AVL;
actual [sup. actualíssim]=categories: A;fonts: LT;
actualista=categories: A;fonts: derivat;
actualitzable=categories: A;fonts: LT;
actualitzador actualitzadora=categories: A;fonts: LT;
actuant=categories: A;fonts: LT;
actuarial=categories: A;fonts: LT;
actínic actínica=categories: A;fonts: LT;
acubador acubadora=categories: A;fonts: LT;
aculeat aculeada=categories: A;fonts: LT;
aculeolat aculeolada=categories: A;fonts: LT;
aculeïforme=categories: A;fonts: LT;
acumbent=categories: A;fonts: LT;
acuminat acuminada=categories: A;fonts: LT;
acuminifoliat acuminifoliada=categories: A;fonts: LT;
acumulable=categories: A;fonts: LT;
acumulador acumuladora=categories: A;fonts: LT;
acumulatiu acumulativa=categories: A;fonts: LT;
acurat acurada [sup. acuradíssim]=categories: A; font:apertium;
acurtable=categories: A;fonts: LT;
acusable=categories: A;fonts: LT;
acusador acusadora=categories: A;fonts: LT;
acusat acusada [sup. acusadíssim]=categories: A;fonts: LT;
acusatori acusatòria=categories: A;fonts: LT;
acusmàtic acusmàtica=categories: A;fonts: LT;
acusticoòptic acusticoòptica=categories: A;fonts: LT;
acutangle=categories: A;fonts: LT;
acutangular=categories: A;fonts: LT;
acutifoli acutifòlia=categories: A;fonts: LT;
acutirostre=categories: A;fonts: LT;
acutiúscul acutiúscula=categories: A;fonts: LT;
acàpnic acàpnica=categories: A;fonts: dsalut;
acèfal acèfala=categories: A;fonts: LT;
acèntric acèntrica=categories: A;fonts: dsalut;
acèrrim acèrrima=categories: A;fonts: LT;
acètic acètica=categories: A;fonts: LT;
acíclic acíclica=categories: A;fonts: LT;
acídic acídica=categories: A;fonts: LT;
acídul acídula=categories: A;fonts: LT;
acínic acínica=categories: A;fonts: LT;
acínic acínica=categories: A;fonts: dsalut;
acòlic acòlica=categories: A;fonts: dsalut;
acústic acústica=categories: A;fonts: LT;
adactílic adactílica=categories: A;fonts: dsalut;
adamantí adamantina=categories: A;fonts: LT;
